name,description,lon,lat
HYATT-GUEST,BSSID: <b>0c:68:03:dd:7b:f0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096690999</b><br/>Date: <b>2014-02-22 14:18:10</b>,-82.39790630280183,34.85306923547729
,BSSID: <b>18:33:9d:5f:95:12</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393097187999</b><br/>Date: <b>2014-02-22 14:26:27</b>,-82.3998913873632,34.85114811289233
Courtyard_Conf,BSSID: <b>c0:25:5c:68:7b:f0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393097678999</b><br/>Date: <b>2014-02-22 14:34:38</b>,-82.40019487498878,34.84848530546568
Courtyard_Guest,BSSID: <b>c0:25:5c:68:7b:f1</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393097678999</b><br/>Date: <b>2014-02-22 14:34:38</b>,-82.40019487498878,34.84848530546568
The Lazy Goat,BSSID: <b>00:27:22:8a:10:7d</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2447</b><br/>Timestamp: <b>1393097912000</b><br/>Date: <b>2014-02-22 14:38:32</b>,-82.4012283272122,34.846209888031524
linksys,BSSID: <b>00:1c:10:66:b5:cd</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098113000</b><br/>Date: <b>2014-02-22 14:41:53</b>,-82.40280864115445,34.844745175579874
,BSSID: <b>00:24:a5:c6:9a:47</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096251000</b><br/>Date: <b>2014-02-22 14:10:51</b>,-82.39851905421273,34.851830588773076
HYATT-GUEST,BSSID: <b>0c:68:03:dd:7f:80</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096850000</b><br/>Date: <b>2014-02-22 14:20:50</b>,-82.39770253358117,34.8537344983406
HYATT-GUEST,BSSID: <b>0c:68:03:cb:ec:e0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096684999</b><br/>Date: <b>2014-02-22 14:18:04</b>,-82.39788647139126,34.852989873292486
The Lazy Goat,BSSID: <b>00:27:22:8a:10:8c</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2422</b><br/>Timestamp: <b>1393097929000</b><br/>Date: <b>2014-02-22 14:38:49</b>,-82.40139875732287,34.84606982353056
Courtyard_Guest,BSSID: <b>c0:25:5c:68:7e:70</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393098575000</b><br/>Date: <b>2014-02-22 14:49:35</b>,-82.40016876731725,34.84770293266073
